Soil_Type,Soil_Moisture_Level,Soil_Nitrogen_Level (N),Soil_Phosphorus_Level (P),Soil_Potassium_Level (K),Rainfall,Region_Name,Season,Recommended_Crops
Black Cotton Soil,59.00%,30,71,78,325 mm,West Bengal,Zaid,"['Sorghum', 'Soybean', 'Cotton']"
Sandy Loam,26.00%,65,88,56,1001 mm,Odisha,Rabi,['Cotton']
Loamy,55.00%,110,56,40,649 mm,Maharashtra,Zaid,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,25.00%,79,85,30,505 mm,Odisha,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Clayey,26.00%,58,33,54,519 mm,Karnataka,Rabi,['Sugarcane']
Loamy,39.00%,73,59,107,402 mm,Maharashtra,Rabi,"['Maize', 'Barley', 'Wheat']"
Loamy,31.00%,100,53,38,1039 mm,Tamil Nadu,Zaid,['Barley']
Loamy,18.00%,39,32,86,390 mm,Odisha,Kharif,['Wheat']
Sandy Loam,26.00%,98,49,48,652 mm,Andhra Pradesh,Rabi,"['Cotton', 'Chickpea', 'Groundnut']"
Loamy,33.00%,96,88,40,1037 mm,Karnataka,Rabi,"['Maize', 'Barley', 'Wheat']"
Silty Loam,33.00%,86,44,105,416 mm,Andhra Pradesh,Kharif,['Vegetables']
Black Cotton Soil,59.00%,67,64,37,617 mm,Punjab,Zaid,"['Sorghum', 'Soybean', 'Cotton']"
Clayey,34.00%,45,36,64,956 mm,Andhra Pradesh,Kharif,['Rice']
Sandy Loam,15.00%,94,70,79,1020 mm,Karnataka,Zaid,['Chickpea']
Black Cotton Soil,54.00%,103,33,29,776 mm,West Bengal,Zaid,"['Sorghum', 'Soybean']"
Loamy,42.00%,62,48,74,884 mm,Odisha,Zaid,"['Barley', 'Maize', 'Wheat']"
Black Cotton Soil,36.00%,48,70,56,931 mm,Punjab,Kharif,['Soybean']
Sandy Loam,51.00%,84,71,94,1032 mm,Maharashtra,Zaid,['Cotton']
Loamy,12.00%,44,37,64,487 mm,West Bengal,Zaid,"['Barley', 'Maize', 'Wheat']"
Clayey,59.00%,89,88,37,995 mm,Odisha,Zaid,"['Rice', 'Sugarcane', 'Jute']"
Black Cotton Soil,16.00%,94,70,29,1114 mm,Maharashtra,Kharif,"['Soybean', 'Sorghum', 'Cotton']"
Sandy Loam,46.00%,94,25,78,957 mm,Maharashtra,Kharif,['Chickpea']
Sandy Loam,54.00%,115,39,27,1098 mm,Odisha,Kharif,['Chickpea']
Loamy,12.00%,96,80,103,576 mm,Punjab,Rabi,"['Barley', 'Maize']"
Sandy Loam,31.00%,46,90,88,1015 mm,Karnataka,Kharif,['Chickpea']
Silty Loam,37.00%,115,73,27,907 mm,Karnataka,Rabi,"['Pulses', 'Vegetables', 'Mustard']"
Black Cotton Soil,21.00%,84,56,75,1137 mm,Odisha,Rabi,"['Sorghum', 'Soybean', 'Cotton']"
Sandy Loam,58.00%,40,46,84,439 mm,Punjab,Zaid,['Cotton']
Clayey,35.00%,96,47,94,602 mm,Andhra Pradesh,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,38.00%,39,73,20,1181 mm,Tamil Nadu,Zaid,['Chickpea']
Loamy,40.00%,74,55,100,559 mm,Odisha,Zaid,"['Barley', 'Wheat']"
Sandy Loam,40.00%,58,39,105,696 mm,Andhra Pradesh,Rabi,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,13.00%,97,83,21,777 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Clayey,12.00%,97,49,86,313 mm,Odisha,Kharif,"['Sugarcane', 'Jute']"
Silty Loam,45.00%,61,89,38,800 mm,Punjab,Zaid,['Pulses']
Silty Loam,48.00%,117,36,26,640 mm,West Bengal,Rabi,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,56.00%,38,62,71,1023 mm,Maharashtra,Rabi,"['Sorghum', 'Soybean', 'Cotton']"
Loamy,59.00%,62,68,21,578 mm,Tamil Nadu,Rabi,['Wheat']
Silty Loam,59.00%,98,25,103,988 mm,Odisha,Zaid,"['Mustard', 'Pulses']"
Clayey,36.00%,105,84,83,1026 mm,Andhra Pradesh,Kharif,"['Rice', 'Sugarcane']"
Silty Loam,51.00%,96,37,65,788 mm,Karnataka,Kharif,['Vegetables']
Silty Loam,26.00%,45,71,100,898 mm,West Bengal,Kharif,"['Vegetables', 'Mustard']"
Silty Loam,53.00%,34,70,71,785 mm,Andhra Pradesh,Kharif,"['Pulses', 'Mustard', 'Vegetables']"
Silty Loam,29.00%,104,41,30,734 mm,Andhra Pradesh,Rabi,"['Pulses', 'Vegetables', 'Mustard']"
Silty Loam,26.00%,119,57,47,1105 mm,Karnataka,Zaid,['Mustard']
Black Cotton Soil,25.00%,69,32,103,407 mm,Andhra Pradesh,Kharif,"['Soybean', 'Sorghum', 'Cotton']"
Clayey,27.00%,50,69,33,337 mm,West Bengal,Rabi,"['Sugarcane', 'Jute']"
Black Cotton Soil,58.00%,36,78,91,506 mm,Punjab,Rabi,['Soybean']
Sandy Loam,20.00%,90,85,51,309 mm,Tamil Nadu,Zaid,"['Cotton', 'Chickpea']"
Clayey,54.00%,52,56,71,1146 mm,Karnataka,Rabi,"['Jute', 'Rice']"
Clayey,17.00%,38,46,68,382 mm,West Bengal,Kharif,['Sugarcane']
Black Cotton Soil,44.00%,100,52,41,311 mm,Maharashtra,Zaid,['Soybean']
Sandy Loam,47.00%,79,31,41,1150 mm,Tamil Nadu,Rabi,"['Chickpea', 'Cotton']"
Clayey,33.00%,33,25,89,765 mm,Punjab,Rabi,"['Rice', 'Jute']"
Sandy Loam,26.00%,34,86,91,423 mm,Maharashtra,Zaid,"['Chickpea', 'Cotton', 'Groundnut']"
Clayey,11.00%,96,89,57,688 mm,Odisha,Rabi,['Sugarcane']
Black Cotton Soil,30.00%,86,32,42,765 mm,West Bengal,Rabi,"['Soybean', 'Cotton', 'Sorghum']"
Sandy Loam,52.00%,110,30,72,928 mm,Karnataka,Kharif,"['Chickpea', 'Cotton']"
Sandy Loam,46.00%,76,61,36,717 mm,Andhra Pradesh,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Sandy Loam,24.00%,102,43,40,346 mm,Punjab,Zaid,"['Cotton', 'Groundnut', 'Chickpea']"
Loamy,13.00%,96,48,106,1154 mm,West Bengal,Kharif,"['Barley', 'Maize']"
Silty Loam,30.00%,120,87,80,994 mm,Maharashtra,Rabi,"['Mustard', 'Pulses', 'Vegetables']"
Loamy,24.00%,116,50,70,1140 mm,Andhra Pradesh,Rabi,"['Barley', 'Maize', 'Wheat']"
Loamy,12.00%,49,25,87,946 mm,Maharashtra,Zaid,"['Maize', 'Wheat']"
Silty Loam,34.00%,94,64,26,804 mm,Maharashtra,Zaid,"['Vegetables', 'Pulses', 'Mustard']"
Silty Loam,11.00%,88,50,23,921 mm,Karnataka,Rabi,"['Vegetables', 'Mustard']"
Black Cotton Soil,56.00%,37,54,83,544 mm,Punjab,Kharif,['Sorghum']
Clayey,57.00%,48,29,77,794 mm,West Bengal,Kharif,['Sugarcane']
Sandy Loam,53.00%,43,71,93,825 mm,Tamil Nadu,Zaid,['Groundnut']
Silty Loam,22.00%,49,75,81,783 mm,Punjab,Rabi,"['Mustard', 'Pulses', 'Vegetables']"
Sandy Loam,49.00%,69,34,68,603 mm,Odisha,Zaid,"['Cotton', 'Groundnut']"
Sandy Loam,43.00%,114,82,57,885 mm,Punjab,Zaid,"['Groundnut', 'Cotton', 'Chickpea']"
Clayey,40.00%,92,30,21,932 mm,Andhra Pradesh,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Black Cotton Soil,42.00%,80,59,52,661 mm,Andhra Pradesh,Rabi,"['Soybean', 'Sorghum', 'Cotton']"
Loamy,12.00%,92,56,20,1191 mm,Andhra Pradesh,Zaid,"['Wheat', 'Barley', 'Maize']"
Silty Loam,36.00%,75,45,95,1047 mm,West Bengal,Kharif,['Vegetables']
Loamy,58.00%,51,61,77,896 mm,Maharashtra,Rabi,"['Barley', 'Wheat']"
Loamy,55.00%,72,21,109,1079 mm,Odisha,Kharif,"['Wheat', 'Maize']"
Sandy Loam,31.00%,47,52,105,404 mm,Andhra Pradesh,Kharif,"['Chickpea', 'Cotton', 'Groundnut']"
Silty Loam,29.00%,32,33,31,406 mm,Andhra Pradesh,Zaid,['Vegetables']
Silty Loam,11.00%,66,89,65,980 mm,Punjab,Kharif,"['Vegetables', 'Pulses']"
Black Cotton Soil,10.00%,62,71,81,989 mm,Andhra Pradesh,Rabi,['Sorghum']
Loamy,28.00%,47,37,42,445 mm,Maharashtra,Rabi,['Maize']
Black Cotton Soil,19.00%,68,62,29,612 mm,Karnataka,Rabi,"['Sorghum', 'Cotton']"
Silty Loam,43.00%,86,51,75,309 mm,Punjab,Rabi,"['Mustard', 'Vegetables']"
Sandy Loam,52.00%,110,39,24,783 mm,Andhra Pradesh,Zaid,['Groundnut']
Clayey,12.00%,62,56,25,1175 mm,Karnataka,Kharif,"['Sugarcane', 'Rice', 'Jute']"
Clayey,33.00%,43,90,26,855 mm,Odisha,Kharif,['Sugarcane']
Sandy Loam,54.00%,115,86,95,331 mm,Andhra Pradesh,Rabi,"['Chickpea', 'Groundnut']"
Sandy Loam,18.00%,63,58,51,1149 mm,Odisha,Rabi,"['Groundnut', 'Cotton']"
Sandy Loam,24.00%,49,35,108,1163 mm,Odisha,Kharif,"['Cotton', 'Chickpea', 'Groundnut']"
Sandy Loam,36.00%,110,83,27,796 mm,Andhra Pradesh,Zaid,"['Groundnut', 'Chickpea', 'Cotton']"
Loamy,30.00%,69,52,94,504 mm,Andhra Pradesh,Rabi,"['Wheat', 'Maize']"
Sandy Loam,21.00%,57,79,109,528 mm,Maharashtra,Zaid,"['Chickpea', 'Groundnut']"
Loamy,39.00%,120,43,60,856 mm,Odisha,Rabi,['Wheat']
Clayey,26.00%,89,26,46,965 mm,Karnataka,Rabi,"['Sugarcane', 'Rice']"
Sandy Loam,42.00%,117,40,95,835 mm,Andhra Pradesh,Kharif,['Groundnut']
Sandy Loam,14.00%,37,85,81,501 mm,Karnataka,Rabi,"['Cotton', 'Groundnut']"
Silty Loam,36.00%,114,55,104,684 mm,Andhra Pradesh,Kharif,['Pulses']
Sandy Loam,30.00%,95,80,91,760 mm,Odisha,Zaid,['Chickpea']
Sandy Loam,35.00%,115,33,72,357 mm,Punjab,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Sandy Loam,25.00%,87,54,21,816 mm,Tamil Nadu,Zaid,"['Groundnut', 'Cotton']"
Black Cotton Soil,47.00%,112,37,56,511 mm,West Bengal,Kharif,"['Cotton', 'Soybean', 'Sorghum']"
Silty Loam,31.00%,118,35,70,795 mm,Maharashtra,Kharif,"['Pulses', 'Vegetables', 'Mustard']"
Clayey,22.00%,37,80,97,695 mm,Odisha,Rabi,"['Rice', 'Jute', 'Sugarcane']"
Silty Loam,28.00%,54,44,92,816 mm,West Bengal,Rabi,"['Pulses', 'Mustard', 'Vegetables']"
Sandy Loam,39.00%,49,45,92,873 mm,Andhra Pradesh,Rabi,['Groundnut']
Sandy Loam,38.00%,93,39,105,340 mm,Punjab,Rabi,"['Cotton', 'Groundnut', 'Chickpea']"
Black Cotton Soil,31.00%,79,29,99,1004 mm,Punjab,Zaid,"['Soybean', 'Sorghum', 'Cotton']"
Silty Loam,37.00%,34,62,58,453 mm,Maharashtra,Rabi,['Mustard']
Black Cotton Soil,53.00%,71,73,71,1022 mm,Andhra Pradesh,Kharif,"['Cotton', 'Soybean', 'Sorghum']"
Black Cotton Soil,16.00%,33,43,75,905 mm,Maharashtra,Rabi,"['Cotton', 'Soybean']"
Black Cotton Soil,19.00%,50,42,81,821 mm,Maharashtra,Zaid,"['Soybean', 'Cotton']"
Silty Loam,18.00%,46,54,109,885 mm,West Bengal,Zaid,"['Pulses', 'Mustard']"
Sandy Loam,22.00%,119,47,42,939 mm,Tamil Nadu,Zaid,['Groundnut']
Sandy Loam,10.00%,35,33,61,630 mm,Karnataka,Zaid,['Groundnut']
Black Cotton Soil,26.00%,64,86,81,1066 mm,West Bengal,Zaid,"['Soybean', 'Cotton', 'Sorghum']"
Loamy,17.00%,51,89,52,479 mm,Odisha,Kharif,"['Wheat', 'Maize']"
Clayey,24.00%,67,73,22,1080 mm,Karnataka,Zaid,"['Rice', 'Jute']"
Black Cotton Soil,18.00%,84,55,72,1045 mm,Odisha,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Loamy,59.00%,51,47,20,909 mm,Tamil Nadu,Kharif,"['Barley', 'Wheat', 'Maize']"
Clayey,17.00%,52,80,45,672 mm,Tamil Nadu,Rabi,"['Sugarcane', 'Jute']"
Silty Loam,52.00%,75,82,55,1164 mm,Andhra Pradesh,Zaid,"['Pulses', 'Vegetables', 'Mustard']"
Silty Loam,11.00%,99,74,95,336 mm,West Bengal,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Black Cotton Soil,33.00%,59,57,80,680 mm,Maharashtra,Kharif,['Cotton']
Black Cotton Soil,22.00%,73,76,33,1194 mm,Maharashtra,Kharif,['Soybean']
Loamy,49.00%,72,40,48,1183 mm,Andhra Pradesh,Kharif,"['Wheat', 'Barley']"
Sandy Loam,45.00%,62,41,41,814 mm,Maharashtra,Kharif,"['Groundnut', 'Chickpea', 'Cotton']"
Loamy,12.00%,63,42,85,584 mm,Odisha,Kharif,['Maize']
Sandy Loam,30.00%,112,73,73,651 mm,Andhra Pradesh,Zaid,['Groundnut']
Silty Loam,40.00%,101,82,81,1100 mm,Andhra Pradesh,Zaid,"['Mustard', 'Vegetables', 'Pulses']"
Sandy Loam,59.00%,76,46,93,520 mm,Karnataka,Kharif,"['Cotton', 'Chickpea', 'Groundnut']"
Loamy,53.00%,88,71,92,333 mm,Andhra Pradesh,Kharif,"['Wheat', 'Maize']"
Loamy,34.00%,51,32,66,1153 mm,West Bengal,Rabi,['Maize']
Silty Loam,20.00%,88,52,99,743 mm,Odisha,Kharif,"['Pulses', 'Vegetables']"
Silty Loam,29.00%,38,84,51,650 mm,Karnataka,Zaid,['Vegetables']
Silty Loam,17.00%,67,34,101,1147 mm,Odisha,Zaid,"['Mustard', 'Vegetables', 'Pulses']"
Black Cotton Soil,29.00%,38,31,81,1067 mm,Andhra Pradesh,Zaid,"['Sorghum', 'Cotton']"
Silty Loam,36.00%,112,30,86,1085 mm,Punjab,Rabi,"['Vegetables', 'Mustard']"
Loamy,55.00%,58,77,31,409 mm,Karnataka,Zaid,"['Wheat', 'Barley', 'Maize']"
Loamy,54.00%,76,22,107,1045 mm,West Bengal,Kharif,['Maize']
Silty Loam,15.00%,112,43,40,692 mm,Odisha,Zaid,"['Pulses', 'Mustard']"
Silty Loam,59.00%,114,39,83,643 mm,Karnataka,Kharif,['Vegetables']
Sandy Loam,43.00%,116,65,73,726 mm,West Bengal,Kharif,['Groundnut']
Loamy,35.00%,65,62,90,519 mm,Tamil Nadu,Zaid,"['Maize', 'Wheat']"
Silty Loam,20.00%,49,58,76,549 mm,West Bengal,Kharif,"['Vegetables', 'Mustard']"
Loamy,13.00%,92,31,92,580 mm,Punjab,Kharif,"['Barley', 'Wheat', 'Maize']"
Black Cotton Soil,11.00%,31,76,49,386 mm,Maharashtra,Rabi,['Sorghum']
Black Cotton Soil,52.00%,108,44,52,417 mm,Odisha,Zaid,['Sorghum']
Clayey,31.00%,85,77,77,1168 mm,West Bengal,Kharif,"['Rice', 'Sugarcane', 'Jute']"
Sandy Loam,16.00%,106,73,60,971 mm,Odisha,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Black Cotton Soil,58.00%,47,35,25,340 mm,Punjab,Kharif,"['Soybean', 'Cotton', 'Sorghum']"
Sandy Loam,41.00%,33,80,83,1049 mm,Maharashtra,Rabi,"['Chickpea', 'Cotton']"
Silty Loam,19.00%,37,88,99,451 mm,West Bengal,Rabi,"['Pulses', 'Vegetables']"
Loamy,35.00%,68,73,30,821 mm,Karnataka,Kharif,['Barley']
Loamy,45.00%,62,73,31,317 mm,Karnataka,Rabi,"['Barley', 'Maize', 'Wheat']"
Sandy Loam,46.00%,36,47,35,576 mm,West Bengal,Zaid,['Cotton']
Black Cotton Soil,34.00%,96,27,55,558 mm,Odisha,Zaid,"['Sorghum', 'Cotton']"
Black Cotton Soil,11.00%,95,72,77,1153 mm,Punjab,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Silty Loam,59.00%,111,33,60,1015 mm,West Bengal,Kharif,"['Vegetables', 'Mustard', 'Pulses']"
Black Cotton Soil,38.00%,117,33,20,839 mm,Andhra Pradesh,Rabi,"['Soybean', 'Cotton']"
Silty Loam,31.00%,83,55,99,975 mm,Tamil Nadu,Rabi,"['Pulses', 'Vegetables']"
Clayey,12.00%,116,60,51,945 mm,Maharashtra,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Silty Loam,27.00%,116,77,66,483 mm,Tamil Nadu,Rabi,"['Vegetables', 'Pulses', 'Mustard']"
Silty Loam,50.00%,42,35,83,1035 mm,Karnataka,Rabi,['Pulses']
Silty Loam,29.00%,65,65,68,796 mm,Punjab,Zaid,"['Vegetables', 'Pulses']"
Clayey,31.00%,75,86,82,309 mm,Odisha,Kharif,"['Sugarcane', 'Jute']"
Sandy Loam,43.00%,73,71,82,356 mm,Andhra Pradesh,Rabi,"['Cotton', 'Groundnut']"
Silty Loam,21.00%,35,83,54,925 mm,Maharashtra,Zaid,['Pulses']
Loamy,52.00%,44,21,89,909 mm,Odisha,Kharif,"['Wheat', 'Maize', 'Barley']"
Silty Loam,38.00%,82,77,79,735 mm,Karnataka,Rabi,"['Mustard', 'Pulses']"
Loamy,12.00%,102,65,53,763 mm,West Bengal,Kharif,['Barley']
Loamy,11.00%,86,87,43,441 mm,Karnataka,Zaid,"['Barley', 'Maize']"
Sandy Loam,54.00%,50,25,100,713 mm,Maharashtra,Kharif,"['Chickpea', 'Groundnut', 'Cotton']"
Sandy Loam,43.00%,44,22,102,787 mm,Karnataka,Rabi,"['Groundnut', 'Cotton']"
Sandy Loam,13.00%,79,52,26,362 mm,Punjab,Zaid,"['Groundnut', 'Cotton']"
Silty Loam,31.00%,83,65,83,1062 mm,Karnataka,Rabi,"['Mustard', 'Vegetables', 'Pulses']"
Silty Loam,39.00%,33,21,46,700 mm,Punjab,Rabi,"['Vegetables', 'Pulses', 'Mustard']"
Loamy,51.00%,120,78,40,717 mm,Andhra Pradesh,Zaid,"['Maize', 'Barley', 'Wheat']"
Silty Loam,39.00%,46,57,55,717 mm,Tamil Nadu,Zaid,"['Pulses', 'Vegetables']"
Silty Loam,14.00%,116,43,97,968 mm,Odisha,Kharif,"['Pulses', 'Vegetables', 'Mustard']"
Sandy Loam,17.00%,89,54,94,1129 mm,Karnataka,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Silty Loam,30.00%,67,86,99,647 mm,West Bengal,Zaid,"['Vegetables', 'Pulses']"
Clayey,52.00%,38,72,24,1056 mm,Odisha,Kharif,"['Sugarcane', 'Jute', 'Rice']"
Clayey,55.00%,102,64,101,853 mm,West Bengal,Rabi,['Rice']
Sandy Loam,52.00%,115,27,28,451 mm,Tamil Nadu,Zaid,['Chickpea']
Black Cotton Soil,30.00%,111,58,24,441 mm,Punjab,Kharif,['Soybean']
Black Cotton Soil,47.00%,102,38,97,598 mm,Andhra Pradesh,Kharif,['Sorghum']
Clayey,32.00%,91,38,62,892 mm,Maharashtra,Rabi,"['Sugarcane', 'Rice', 'Jute']"
Sandy Loam,56.00%,44,77,85,710 mm,Odisha,Zaid,"['Cotton', 'Groundnut']"
Clayey,13.00%,106,29,109,899 mm,Punjab,Zaid,"['Rice', 'Jute']"
Sandy Loam,52.00%,72,76,50,692 mm,Andhra Pradesh,Zaid,"['Chickpea', 'Cotton']"
Clayey,46.00%,68,42,34,743 mm,Karnataka,Zaid,"['Jute', 'Rice', 'Sugarcane']"
Black Cotton Soil,59.00%,42,43,91,688 mm,Tamil Nadu,Kharif,"['Sorghum', 'Cotton', 'Soybean']"
Black Cotton Soil,45.00%,104,50,64,891 mm,West Bengal,Zaid,"['Sorghum', 'Soybean']"
Loamy,60.00%,97,65,77,897 mm,West Bengal,Rabi,['Wheat']
Silty Loam,43.00%,96,75,24,1196 mm,Odisha,Zaid,"['Mustard', 'Pulses', 'Vegetables']"
Loamy,34.00%,67,54,55,773 mm,Karnataka,Zaid,"['Wheat', 'Barley', 'Maize']"
Clayey,31.00%,103,68,75,1181 mm,Tamil Nadu,Kharif,"['Sugarcane', 'Rice']"
Loamy,29.00%,118,52,72,1175 mm,Karnataka,Zaid,['Wheat']
Clayey,33.00%,104,71,108,586 mm,Tamil Nadu,Zaid,"['Sugarcane', 'Rice', 'Jute']"
Clayey,57.00%,106,40,68,310 mm,Maharashtra,Kharif,"['Jute', 'Sugarcane', 'Rice']"
Loamy,34.00%,83,74,43,344 mm,Andhra Pradesh,Kharif,"['Wheat', 'Maize']"
Black Cotton Soil,18.00%,94,21,89,1082 mm,Odisha,Kharif,['Sorghum']
Sandy Loam,35.00%,91,57,26,342 mm,Tamil Nadu,Rabi,"['Cotton', 'Groundnut']"
Silty Loam,33.00%,32,31,95,537 mm,Tamil Nadu,Zaid,['Vegetables']
Clayey,15.00%,97,25,52,889 mm,Tamil Nadu,Zaid,"['Rice', 'Sugarcane']"
Sandy Loam,40.00%,88,75,71,329 mm,Andhra Pradesh,Zaid,['Cotton']
Black Cotton Soil,24.00%,38,37,60,1152 mm,Odisha,Rabi,"['Sorghum', 'Cotton', 'Soybean']"
Black Cotton Soil,45.00%,120,53,51,886 mm,West Bengal,Rabi,['Sorghum']
Loamy,56.00%,53,23,99,793 mm,Andhra Pradesh,Kharif,"['Barley', 'Maize']"
Silty Loam,15.00%,56,20,94,507 mm,West Bengal,Zaid,"['Pulses', 'Vegetables', 'Mustard']"
Clayey,50.00%,98,87,49,328 mm,Karnataka,Zaid,['Rice']
Loamy,53.00%,53,72,100,836 mm,Odisha,Rabi,['Maize']
Black Cotton Soil,54.00%,90,65,56,566 mm,Andhra Pradesh,Zaid,"['Sorghum', 'Cotton', 'Soybean']"
Clayey,55.00%,83,26,106,529 mm,Maharashtra,Rabi,['Jute']
Silty Loam,18.00%,41,40,63,953 mm,Maharashtra,Kharif,['Mustard']
Silty Loam,59.00%,68,27,38,1164 mm,Odisha,Rabi,"['Vegetables', 'Mustard', 'Pulses']"
Loamy,13.00%,83,23,109,640 mm,Maharashtra,Rabi,"['Barley', 'Wheat']"
Loamy,53.00%,49,78,67,974 mm,Tamil Nadu,Kharif,"['Maize', 'Wheat']"
Clayey,43.00%,101,37,69,1156 mm,Punjab,Rabi,['Sugarcane']
Silty Loam,16.00%,45,33,71,953 mm,Punjab,Kharif,['Pulses']
Clayey,24.00%,62,63,20,759 mm,West Bengal,Rabi,"['Rice', 'Jute', 'Sugarcane']"
Silty Loam,18.00%,112,51,92,1154 mm,Tamil Nadu,Rabi,"['Mustard', 'Vegetables']"
Silty Loam,20.00%,50,70,93,982 mm,Karnataka,Kharif,['Mustard']
Silty Loam,11.00%,32,38,29,482 mm,Andhra Pradesh,Zaid,['Pulses']
Clayey,16.00%,36,22,45,793 mm,Maharashtra,Zaid,"['Jute', 'Sugarcane']"
Silty Loam,31.00%,107,44,90,666 mm,Odisha,Rabi,"['Pulses', 'Mustard']"
Loamy,43.00%,114,81,81,666 mm,Punjab,Zaid,"['Maize', 'Wheat']"
Sandy Loam,17.00%,31,68,94,1000 mm,Karnataka,Kharif,['Groundnut']
Silty Loam,36.00%,38,75,65,1098 mm,Odisha,Rabi,['Vegetables']
Black Cotton Soil,43.00%,60,21,45,767 mm,Punjab,Zaid,['Cotton']
Black Cotton Soil,56.00%,79,64,93,853 mm,Karnataka,Kharif,"['Soybean', 'Sorghum', 'Cotton']"
Silty Loam,56.00%,36,29,33,894 mm,Punjab,Zaid,"['Mustard', 'Pulses']"
Clayey,25.00%,88,76,36,926 mm,Karnataka,Kharif,['Sugarcane']
Black Cotton Soil,19.00%,40,42,102,1177 mm,Andhra Pradesh,Kharif,"['Cotton', 'Sorghum', 'Soybean']"
Silty Loam,29.00%,113,90,43,382 mm,Maharashtra,Zaid,"['Vegetables', 'Mustard']"
Black Cotton Soil,22.00%,119,50,49,676 mm,Karnataka,Zaid,"['Cotton', 'Sorghum', 'Soybean']"
Clayey,51.00%,38,82,103,592 mm,Andhra Pradesh,Rabi,['Sugarcane']
Sandy Loam,53.00%,97,53,89,1119 mm,Odisha,Zaid,"['Chickpea', 'Groundnut', 'Cotton']"
Silty Loam,47.00%,68,28,79,300 mm,Karnataka,Rabi,['Mustard']
Loamy,26.00%,46,50,41,619 mm,Odisha,Kharif,"['Wheat', 'Barley']"
Silty Loam,31.00%,47,73,98,902 mm,Tamil Nadu,Kharif,"['Vegetables', 'Pulses', 'Mustard']"
Black Cotton Soil,39.00%,69,56,103,1117 mm,Punjab,Kharif,"['Sorghum', 'Cotton']"
Sandy Loam,37.00%,32,74,55,779 mm,Maharashtra,Zaid,['Chickpea']
Loamy,45.00%,50,82,61,908 mm,Maharashtra,Zaid,['Maize']
Sandy Loam,19.00%,33,25,53,999 mm,Maharashtra,Rabi,['Groundnut']
Loamy,35.00%,76,55,56,722 mm,Karnataka,Zaid,['Barley']
Black Cotton Soil,46.00%,70,58,26,589 mm,Punjab,Rabi,['Sorghum']
Sandy Loam,38.00%,82,76,64,1183 mm,Andhra Pradesh,Zaid,"['Groundnut', 'Chickpea', 'Cotton']"
Silty Loam,47.00%,69,57,73,1143 mm,Punjab,Zaid,"['Vegetables', 'Mustard']"
Loamy,48.00%,100,88,85,834 mm,Tamil Nadu,Rabi,['Barley']
Loamy,53.00%,49,61,70,864 mm,Karnataka,Kharif,"['Barley', 'Wheat', 'Maize']"
Loamy,59.00%,44,45,69,493 mm,West Bengal,Zaid,"['Maize', 'Wheat', 'Barley']"
Black Cotton Soil,14.00%,37,58,100,427 mm,Odisha,Kharif,['Soybean']
Clayey,11.00%,60,53,48,1024 mm,West Bengal,Kharif,"['Jute', 'Sugarcane', 'Rice']"
Black Cotton Soil,22.00%,81,82,55,753 mm,West Bengal,Kharif,"['Soybean', 'Sorghum']"
Sandy Loam,54.00%,61,87,75,429 mm,Tamil Nadu,Rabi,['Groundnut']
Black Cotton Soil,33.00%,92,80,30,788 mm,Maharashtra,Rabi,"['Cotton', 'Sorghum', 'Soybean']"
Black Cotton Soil,54.00%,32,48,71,981 mm,Karnataka,Rabi,['Cotton']
Loamy,27.00%,52,63,86,749 mm,Maharashtra,Zaid,"['Maize', 'Barley']"
Black Cotton Soil,16.00%,74,75,36,879 mm,Karnataka,Zaid,"['Soybean', 'Cotton', 'Sorghum']"
Black Cotton Soil,33.00%,109,40,25,1153 mm,West Bengal,Zaid,"['Sorghum', 'Cotton']"
Sandy Loam,29.00%,61,21,64,321 mm,Tamil Nadu,Zaid,['Chickpea']
Clayey,23.00%,68,48,74,836 mm,Maharashtra,Kharif,"['Rice', 'Jute']"
Black Cotton Soil,21.00%,77,76,97,471 mm,Odisha,Zaid,"['Cotton', 'Soybean']"
Black Cotton Soil,26.00%,64,44,39,381 mm,Maharashtra,Rabi,['Sorghum']
Black Cotton Soil,11.00%,108,20,106,790 mm,Odisha,Kharif,['Sorghum']
Sandy Loam,24.00%,99,50,60,1046 mm,Maharashtra,Kharif,"['Cotton', 'Groundnut', 'Chickpea']"
Sandy Loam,56.00%,81,75,71,683 mm,Odisha,Kharif,"['Groundnut', 'Chickpea']"
Black Cotton Soil,40.00%,107,74,30,583 mm,West Bengal,Zaid,"['Soybean', 'Sorghum', 'Cotton']"
Loamy,23.00%,76,78,98,410 mm,Maharashtra,Rabi,"['Wheat', 'Barley']"
